Laptops,Core,Display,Gb,Memory,Price,Rating
https://www.flipkart.com/lenovo-ideapad-3-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15iml05-thin-light-laptop/p/itm79183ded58b8e?pid=COMG4WZ7UPV659QV&lid=LSTCOMG4WZ7UPV659QVYZAEMY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=en_8tYhzq1f1lr7MRE1cAei2%2BhGflKBznHH15Lqtw3Nh2rKzfdJeyU6RPLV%2BB5MmWB0qlC2TSb51R4jzM3Cxcksdw%3D%3D&ppt=hp&ppn=homepage&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,Intel Core i3 Processor (10th Gen),39.62 cm (15.6 inch) Display,27% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
https://www.flipkart.com/lenovo-ideapad-slim-3i-2021-core-i5-11th-gen-8-gb-256-gb-ssd-windows-10-home-15itl6-15itl6-ub-thin-light-laptop/p/itm434c33a5ecc3a?pid=COMG36BSUKGYMGKD&lid=LSTCOMG36BSUKGYMGKDSRV2LQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=en_8tYhzq1f1lr7MRE1cAei2%2BhGflKBznHH15Lqtw3Nh2qJOPpEjhi7z4K0tMrbNdnOTIfi7oWJNkLjcQ0phddj4w%3D%3D&ppt=hp&ppn=homepage&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,Intel Core i5 Processor (11th Gen),39.62 cm (15.6 inch) Display,33% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
https://www.flipkart.com/acer-dual-core-a3020e-4-gb-256-gb-ssd-windows-10-home-ex215-22-laptop/p/itmeb0a1ce90a058?pid=COMG6VZPUZZWVGMB&lid=LSTCOMG6VZPUZZWVGMBUMGSI2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=c1e6473a-d2e6-4471-bfc6-fa767469f6d0.COMG6VZPUZZWVGMB.SEARCH&ppt=hp&ppn=homepage&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,AMD Dual Core Processor,39.62 cm (15.6 inch) Display,24% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,,
https://www.flipkart.com/hp-pavilion-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-15-ec2004ax-gaming-laptop/p/itm98c94bbf9bc20?pid=COMG5GZXPWMGTNWS&lid=LSTCOMG5GZXPWMGTNWS2SZL9C&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=c1e6473a-d2e6-4471-bfc6-fa767469f6d0.COMG5GZXPWMGTNWS.SEARCH&ppt=hp&ppn=homepage&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,AMD Ryzen 5 Hexa Core Processor,39.62 cm (15.6 inch) Display,14% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
https://www.flipkart.com/acer-aspire-7-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-a715-75g-50ta-a715-75g-41g-gaming-laptop/p/itmc97c3da5d2abe?pid=COMG2KBG2K4GFFF7&lid=LSTCOMG2KBG2K4GFFF78YBPHO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestvalueId_6bo%2Fb5g&srno=s_1_5&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=c1e6473a-d2e6-4471-bfc6-fa767469f6d0.COMG2KBG2K4GFFF7.SEARCH&ppt=hp&ppn=homepage&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,Free upgrade to Windows 11 when available,512 GB SSD,44% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
https://www.flipkart.com/avita-pura-apu-dual-core-a6-9220e-8-gb-256-gb-ssd-windows-10-home-ns14a6ing541-sgc-thin-light-laptop/p/itm720ab02d26bc6?pid=COMG4CP3HEAV8PYT&lid=LSTCOMG4CP3HEAV8PYTPRHDPQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=c1e6473a-d2e6-4471-bfc6-fa767469f6d0.COMG4CP3HEAV8PYT.SEARCH&ppt=hp&ppn=homepage&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,AMD APU Dual Core A6 Processor,35.56 cm (14 inches) Display,35% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,,
https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-14s-dq2100tu-thin-light-laptop/p/itmc79d66e09344b?pid=COMG3682GMYD4SVX&lid=LSTCOMG3682GMYD4SVXKDETFQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=c1e6473a-d2e6-4471-bfc6-fa767469f6d0.COMG3682GMYD4SVX.SEARCH&ppt=hp&ppn=homepage&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,Intel Core i3 Processor (11th Gen),35.56 cm (14 inch) Display,11% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
https://www.flipkart.com/lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-10-home-15itl6-thin-light-laptop/p/itmc6efc8e761172?pid=COMG62ZCTJUXHKKZ&lid=LSTCOMG62ZCTJUXHKKZBLNC6G&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=en_8tYhzq1f1lr7MRE1cAei2%2BhGflKBznHH15Lqtw3Nh2otQLZ%2BRsN4eLL5gNmBTwRJFBbTO9FG15RN6tcLdfQRIQ%3D%3D&ppt=hp&ppn=homepage&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,Intel Core i3 Processor (11th Gen),39.62 cm (15.6 inch) Display,30% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
https://www.flipkart.com/lenovo-ideapad-3-core-i3-10th-gen-8-gb-256-gb-ssd-windows-10-home-15iml05-thin-light-laptop/p/itm898b81f2c0118?pid=COMG6AKVAHWTHAQG&lid=LSTCOMG6AKVAHWTHAQGXUICJF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=c1e6473a-d2e6-4471-bfc6-fa767469f6d0.COMG6AKVAHWTHAQG.SEARCH&ppt=hp&ppn=homepage&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,Intel Core i3 Processor (10th Gen),39.62 cm (15.6 Inch) Display,29% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
https://www.flipkart.com/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-ti-144-hz-fx506li-hn271ts-laptop/p/itme14aa4095ad4c?pid=COMGFVWMZXNEDHFB&lid=LSTCOMGFVWMZXNEDHFBKVM1HI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=c1e6473a-d2e6-4471-bfc6-fa767469f6d0.COMGFVWMZXNEDHFB.SEARCH&ppt=hp&ppn=homepage&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,Intel Core i5 Processor (10th Gen),39.62 cm (15.6 Inch) Display,35% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
